Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Posts 62,1,5,5,5,0.00,0.000%,200.00000,326.76,452.73,1673.0
Posts 63,1,5,5,5,0.00,0.000%,200.00000,269.14,386.13,1378.0
Posts 64,1,5,5,5,0.00,0.000%,200.00000,159.96,292.97,819.0
Posts 65,1,5,5,5,0.00,0.000%,200.00000,332.62,457.03,1703.0
Posts 66,1,7,7,7,0.00,0.000%,142.85714,216.38,296.88,1551.0
Posts 67,1,4,4,4,0.00,0.000%,250.00000,400.39,561.52,1640.0
Posts 68,1,6,6,6,0.00,0.000%,166.66667,265.30,360.84,1630.0
Posts 69,1,6,6,6,0.00,0.000%,166.66667,254.88,360.51,1566.0
Posts 70,1,5,5,5,0.00,0.000%,200.00000,335.94,457.42,1720.0
Posts 71,1,8,8,8,0.00,0.000%,125.00000,230.59,302.86,1889.0
Posts 72,1,6,6,6,0.00,0.000%,166.66667,261.23,359.21,1605.0
Posts 73,1,5,5,5,0.00,0.000%,200.00000,323.83,450.39,1658.0
Posts 74,1,9,9,9,0.00,0.000%,111.11111,144.10,212.35,1328.0
Posts 75,1,5,5,5,0.00,0.000%,200.00000,335.94,454.49,1720.0
Posts 76,1,5,5,5,0.00,0.000%,200.00000,340.43,459.96,1743.0
Posts 77,1,10,10,10,0.00,0.000%,100.00000,121.39,180.86,1243.0
Posts 78,1,4,4,4,0.00,0.000%,250.00000,286.38,427.98,1173.0
Posts 79,1,5,5,5,0.00,0.000%,200.00000,237.30,359.96,1215.0
Posts 80,1,5,5,5,0.00,0.000%,200.00000,248.05,375.20,1270.0
Posts 81,1,5,5,5,0.00,0.000%,200.00000,318.16,432.62,1629.0
Posts 82,1,5,5,5,0.00,0.000%,200.00000,225.59,348.63,1155.0
Posts 83,1,5,5,5,0.00,0.000%,200.00000,261.91,389.45,1341.0
Posts 84,1,4,4,4,0.00,0.000%,250.00000,338.38,488.77,1386.0
Posts 85,1,6,6,6,0.00,0.000%,166.66667,253.74,351.89,1559.0
Posts 86,1,6,6,6,0.00,0.000%,166.66667,242.35,349.12,1489.0
Posts 87,1,6,6,6,0.00,0.000%,166.66667,171.88,275.39,1056.0
Posts 88,1,5,5,5,0.00,0.000%,200.00000,226.95,345.51,1162.0
Posts 89,1,6,6,6,0.00,0.000%,166.66667,291.99,389.81,1794.0
Posts 90,1,6,6,6,0.00,0.000%,166.66667,276.53,378.58,1699.0
Posts 91,1,14,14,14,0.00,0.000%,71.42857,82.73,123.74,1186.0
Posts 92,1,9,9,9,0.00,0.000%,111.11111,111.11,180.01,1024.0
Posts 93,1,11,11,11,0.00,0.000%,90.90909,122.69,175.87,1382.0
Posts 94,1,8,8,8,0.00,0.000%,125.00000,206.05,280.64,1688.0
Posts 95,1,5,5,5,0.00,0.000%,200.00000,270.90,399.61,1387.0
Posts 96,1,4,4,4,0.00,0.000%,250.00000,440.92,585.21,1806.0
Posts 97,1,5,5,5,0.00,0.000%,200.00000,333.40,449.80,1707.0
Posts 98,1,8,8,8,0.00,0.000%,125.00000,164.06,243.53,1344.0
Posts 99,1,47,47,47,0.00,0.000%,21.27660,32.73,45.09,1575.0
Posts 100,1,15,15,15,0.00,0.000%,66.66667,101.76,143.62,1563.0
Posts 101,1,7,7,7,0.00,0.000%,142.85714,198.80,284.04,1425.0
Posts 102,1,6,6,6,0.00,0.000%,166.66667,141.11,248.54,867.0
Posts 103,1,8,8,8,0.00,0.000%,125.00000,191.65,263.31,1570.0
Posts 104,1,7,7,7,0.00,0.000%,142.85714,252.79,342.77,1812.0
Posts 105,1,7,7,7,0.00,0.000%,142.85714,201.87,287.25,1447.0
Posts 106,1,7,7,7,0.00,0.000%,142.85714,209.12,293.39,1499.0
Posts 107,1,6,6,6,0.00,0.000%,166.66667,171.06,277.67,1051.0
Posts 108,1,5,5,5,0.00,0.000%,200.00000,327.93,453.52,1679.0
Posts 109,1,4,4,4,0.00,0.000%,250.00000,418.70,560.79,1715.0
Posts 110,1,5,5,5,0.00,0.000%,200.00000,317.19,431.84,1624.0
Posts 111,1,4,4,4,0.00,0.000%,250.00000,387.45,541.75,1587.0
Posts 112,1,4,4,4,0.00,0.000%,250.00000,402.83,551.51,1650.0
Posts 113,1,4,4,4,0.00,0.000%,250.00000,325.93,478.03,1335.0
Posts 114,1,4,4,4,0.00,0.000%,250.00000,344.97,505.13,1413.0
Posts 115,1,4,4,4,0.00,0.000%,250.00000,301.51,444.58,1235.0
Posts 116,1,4,4,4,0.00,0.000%,250.00000,427.98,573.97,1753.0
Posts 117,1,4,4,4,0.00,0.000%,250.00000,366.94,517.82,1503.0
Posts 118,1,9,9,9,0.00,0.000%,111.11111,115.56,182.73,1065.0
Posts 119,1,5,5,5,0.00,0.000%,200.00000,325.78,454.69,1668.0
Posts 120,1,6,6,6,0.00,0.000%,166.66667,263.83,360.35,1621.0
Posts 121,1,5,5,5,0.00,0.000%,200.00000,362.11,477.34,1854.0
Posts 122,1,4,4,4,0.00,0.000%,250.00000,337.65,499.02,1383.0
Posts 123,1,5,5,5,0.00,0.000%,200.00000,293.55,407.23,1503.0
Posts 124,1,20,20,20,0.00,0.000%,50.00000,84.08,113.72,1722.0
Posts 125,1,5,5,5,0.00,0.000%,200.00000,294.53,414.65,1508.0
Posts 126,1,5,5,5,0.00,0.000%,200.00000,231.64,354.49,1186.0
Posts 127,1,6,6,6,0.00,0.000%,166.66667,222.33,315.43,1366.0
Posts 128,1,8,8,8,0.00,0.000%,125.00000,162.60,241.46,1332.0
Posts 129,1,6,6,6,0.00,0.000%,166.66667,167.64,268.23,1030.0
Posts 130,1,5,5,5,0.00,0.000%,200.00000,366.60,479.10,1877.0
Posts 131,1,7,7,7,0.00,0.000%,142.85714,194.61,279.16,1395.0
Posts 132,1,5,5,5,0.00,0.000%,200.00000,316.21,436.91,1619.0
Posts 133,1,4,4,4,0.00,0.000%,250.00000,342.04,499.51,1401.0
Posts 134,1,5,5,5,0.00,0.000%,200.00000,291.02,417.19,1490.0
Posts 135,1,5,5,5,0.00,0.000%,200.00000,347.27,461.52,1778.0
Posts 136,1,4,4,4,0.00,0.000%,250.00000,244.38,394.53,1001.0
Posts 137,1,5,5,5,0.00,0.000%,200.00000,360.94,483.59,1848.0
Posts 138,1,6,6,6,0.00,0.000%,166.66667,226.07,325.36,1389.0
Posts 139,1,6,6,6,0.00,0.000%,166.66667,240.56,333.98,1478.0
Posts 140,1,5,5,5,0.00,0.000%,200.00000,314.45,429.30,1610.0
Posts 141,1,6,6,6,0.00,0.000%,166.66667,208.17,314.13,1279.0
Posts 142,1,6,6,6,0.00,0.000%,166.66667,239.58,334.96,1472.0
Posts 143,1,6,6,6,0.00,0.000%,166.66667,299.80,397.95,1842.0
Posts 144,1,5,5,5,0.00,0.000%,200.00000,197.07,319.53,1009.0
Posts 145,1,6,6,6,0.00,0.000%,166.66667,283.20,380.86,1740.0
Posts 146,1,7,7,7,0.00,0.000%,142.85714,215.82,307.48,1547.0
Posts 147,1,5,5,5,0.00,0.000%,200.00000,283.01,397.85,1449.0
Posts 148,1,5,5,5,0.00,0.000%,200.00000,310.74,435.74,1591.0
Posts 149,1,19,19,19,0.00,0.000%,52.63158,60.60,91.80,1179.0
Posts 150,1,6,6,6,0.00,0.000%,166.66667,175.13,275.72,1076.0
Posts 151,1,6,6,6,0.00,0.000%,166.66667,212.08,306.48,1303.0
Posts 152,1,5,5,5,0.00,0.000%,200.00000,343.75,456.25,1760.0
Posts 153,1,4,4,4,0.00,0.000%,250.00000,416.02,567.87,1704.0
Posts 154,1,5,5,5,0.00,0.000%,200.00000,307.62,422.27,1575.0
Posts 155,1,6,6,6,0.00,0.000%,166.66667,144.37,250.65,887.0
Posts 156,1,5,5,5,0.00,0.000%,200.00000,308.20,423.24,1578.0
Posts 157,1,5,5,5,0.00,0.000%,200.00000,257.23,383.59,1317.0
Posts 158,1,4,4,4,0.00,0.000%,250.00000,386.47,537.35,1583.0
Posts 159,1,5,5,5,0.00,0.000%,200.00000,292.58,409.77,1498.0
Posts 160,1,7,7,7,0.00,0.000%,142.85714,158.90,241.77,1139.0
Posts 161,1,5,5,5,0.00,0.000%,200.00000,283.01,409.96,1449.0
Posts 162,1,8,8,8,0.00,0.000%,125.00000,145.02,217.16,1188.0
Posts 163,1,5,5,5,0.00,0.000%,200.00000,302.93,416.41,1551.0
Posts 164,1,5,5,5,0.00,0.000%,200.00000,330.66,445.90,1693.0
Posts 165,1,5,5,5,0.00,0.000%,200.00000,259.18,371.68,1327.0
Posts 166,1,5,5,5,0.00,0.000%,200.00000,287.89,413.87,1474.0
Posts 167,1,5,5,5,0.00,0.000%,200.00000,265.43,390.43,1359.0
Posts 168,1,5,5,5,0.00,0.000%,200.00000,376.37,488.09,1927.0
Posts 169,1,7,7,7,0.00,0.000%,142.85714,248.05,333.01,1778.0
Posts 170,1,14,14,14,0.00,0.000%,71.42857,105.89,150.46,1518.0
Posts 171,1,5,5,5,0.00,0.000%,200.00000,218.36,347.66,1118.0
Posts 172,1,6,6,6,0.00,0.000%,166.66667,216.15,319.50,1328.0
Posts 173,1,6,6,6,0.00,0.000%,166.66667,300.78,398.60,1848.0
Posts 174,1,6,6,6,0.00,0.000%,166.66667,317.06,412.43,1948.0
Posts 175,1,4,4,4,0.00,0.000%,250.00000,427.00,582.28,1749.0
Posts 176,1,4,4,4,0.00,0.000%,250.00000,229.74,386.72,941.0
Posts 177,1,4,4,4,0.00,0.000%,250.00000,351.81,496.83,1441.0
Posts 178,1,6,6,6,0.00,0.000%,166.66667,173.83,271.00,1068.0
Posts 179,1,6,6,6,0.00,0.000%,166.66667,253.09,353.84,1555.0
Posts 180,1,4,4,4,0.00,0.000%,250.00000,209.72,372.56,859.0
Posts 181,1,3,3,3,0.00,0.000%,333.33333,408.20,611.65,1254.0
Posts 182,1,5,5,5,0.00,0.000%,200.00000,279.49,407.81,1431.0
Posts 183,1,4,4,4,0.00,0.000%,250.00000,343.75,502.44,1408.0
Posts 184,1,5,5,5,0.00,0.000%,200.00000,189.26,317.38,969.0
Posts 185,1,4,4,4,0.00,0.000%,250.00000,261.47,415.04,1071.0
Posts 186,1,6,6,6,0.00,0.000%,166.66667,191.57,287.92,1177.0
Posts 187,1,4,4,4,0.00,0.000%,250.00000,292.24,436.77,1197.0
Posts 188,1,3,3,3,0.00,0.000%,333.33333,374.35,570.31,1150.0
Posts 189,1,4,4,4,0.00,0.000%,250.00000,429.44,586.91,1759.0
Posts 190,1,5,5,5,0.00,0.000%,200.00000,208.79,327.15,1069.0
Posts 191,1,6,6,6,0.00,0.000%,166.66667,205.57,298.50,1263.0
Posts 192,1,5,5,5,0.00,0.000%,200.00000,323.63,444.73,1657.0
Posts 193,1,4,4,4,0.00,0.000%,250.00000,463.13,604.98,1897.0
Posts 194,1,5,5,5,0.00,0.000%,200.00000,223.44,351.17,1144.0
Posts 195,1,5,5,5,0.00,0.000%,200.00000,216.80,331.84,1110.0
Posts 196,1,13,13,13,0.00,0.000%,76.92308,128.46,173.75,1710.0
Posts 197,1,6,6,6,0.00,0.000%,166.66667,233.24,336.91,1433.0
Posts 198,1,5,5,5,0.00,0.000%,200.00000,190.82,315.04,977.0
Posts 199,1,4,4,4,0.00,0.000%,250.00000,380.86,534.67,1560.0
Posts 200,1,5,5,5,0.00,0.000%,200.00000,337.50,466.80,1728.0
Posts 201,1,4,4,4,0.00,0.000%,250.00000,380.37,531.98,1558.0
Posts 202,1,5,5,5,0.00,0.000%,200.00000,370.12,489.65,1895.0
Posts 203,1,4,4,4,0.00,0.000%,250.00000,438.96,579.10,1798.0
Posts 204,1,4,4,4,0.00,0.000%,250.00000,312.74,473.63,1281.0
Posts 205,1,5,5,5,0.00,0.000%,200.00000,211.52,331.45,1083.0
Posts 206,1,5,5,5,0.00,0.000%,200.00000,323.63,442.77,1657.0
Posts 207,1,5,5,5,0.00,0.000%,200.00000,338.48,462.89,1733.0
Posts 208,1,4,4,4,0.00,0.000%,250.00000,425.05,586.67,1741.0
Posts 209,1,6,6,6,0.00,0.000%,166.66667,200.03,293.13,1229.0
Posts 210,1,4,4,4,0.00,0.000%,250.00000,304.69,448.73,1248.0
Posts 211,1,7,7,7,0.00,0.000%,142.85714,155.69,242.89,1116.0
Posts 212,1,5,5,5,0.00,0.000%,200.00000,320.90,447.27,1643.0
Posts 213,1,7,7,7,0.00,0.000%,142.85714,151.51,233.68,1086.0
Posts 214,1,7,7,7,0.00,0.000%,142.85714,231.45,321.71,1659.0
Posts 215,1,5,5,5,0.00,0.000%,200.00000,291.21,408.20,1491.0
Posts 216,1,7,7,7,0.00,0.000%,142.85714,201.31,283.76,1443.0
Posts 217,1,5,5,5,0.00,0.000%,200.00000,170.90,299.80,875.0
Posts 218,1,7,7,7,0.00,0.000%,142.85714,171.60,259.49,1230.0
Posts 219,1,5,5,5,0.00,0.000%,200.00000,205.08,325.39,1050.0
Posts 220,1,7,7,7,0.00,0.000%,142.85714,178.71,268.97,1281.0
Posts 221,1,5,5,5,0.00,0.000%,200.00000,321.09,444.14,1644.0
Posts 222,1,4,4,4,0.00,0.000%,250.00000,362.30,517.58,1484.0
Posts 223,1,5,5,5,0.00,0.000%,200.00000,334.57,450.39,1713.0
Posts 224,1,6,6,6,0.00,0.000%,166.66667,194.99,296.55,1198.0
Posts 225,1,6,6,6,0.00,0.000%,166.66667,155.76,262.04,957.0
Posts 226,1,6,6,6,0.00,0.000%,166.66667,285.16,385.09,1752.0
Posts 227,1,5,5,5,0.00,0.000%,200.00000,256.64,368.16,1314.0
Posts 228,1,6,6,6,0.00,0.000%,166.66667,290.36,387.53,1784.0
Posts 229,1,7,7,7,0.00,0.000%,142.85714,160.02,241.49,1147.0
Posts 230,1,5,5,5,0.00,0.000%,200.00000,250.20,376.95,1281.0
Posts 231,1,6,6,6,0.00,0.000%,166.66667,241.70,338.70,1485.0
Posts 232,1,9,9,9,0.00,0.000%,111.11111,158.96,227.54,1465.0
Posts 233,1,6,6,6,0.00,0.000%,166.66667,185.87,284.51,1142.0
Posts 234,1,7,7,7,0.00,0.000%,142.85714,189.03,269.11,1355.0
Posts 235,1,6,6,6,0.00,0.000%,166.66667,166.02,266.44,1020.0
Posts 236,1,6,6,6,0.00,0.000%,166.66667,305.99,399.58,1880.0
Posts 237,1,5,5,5,0.00,0.000%,200.00000,256.25,371.48,1312.0
Posts 238,1,6,6,6,0.00,0.000%,166.66667,230.14,327.31,1414.0
Posts 239,1,7,7,7,0.00,0.000%,142.85714,166.99,250.00,1197.0
Posts 240,1,5,5,5,0.00,0.000%,200.00000,215.82,343.55,1105.0
Posts 241,1,6,6,6,0.00,0.000%,166.66667,236.49,332.36,1453.0
Posts 242,1,6,6,6,0.00,0.000%,166.66667,281.41,381.84,1729.0
Posts 243,1,5,5,5,0.00,0.000%,200.00000,198.05,322.46,1014.0
Posts 244,1,5,5,5,0.00,0.000%,200.00000,166.02,298.44,850.0
Posts 245,1,5,5,5,0.00,0.000%,200.00000,267.77,385.16,1371.0
Posts 246,1,6,6,6,0.00,0.000%,166.66667,275.88,374.19,1695.0
Posts 247,1,5,5,5,0.00,0.000%,200.00000,369.34,489.84,1891.0
Posts 248,1,7,7,7,0.00,0.000%,142.85714,242.05,327.01,1735.0
Posts 249,1,7,7,7,0.00,0.000%,142.85714,213.73,297.43,1532.0
Posts 250,1,13,13,13,0.00,0.000%,76.92308,83.61,131.61,1113.0
Posts 251,1,5,5,5,0.00,0.000%,200.00000,270.90,396.09,1387.0
Posts 252,1,5,5,5,0.00,0.000%,200.00000,226.17,342.77,1158.0
Posts 253,1,4,4,4,0.00,0.000%,250.00000,304.93,450.20,1249.0
Posts 254,1,5,5,5,0.00,0.000%,200.00000,219.92,345.70,1126.0
Posts 255,1,5,5,5,0.00,0.000%,200.00000,212.70,328.32,1089.0
Posts 256,1,5,5,5,0.00,0.000%,200.00000,348.05,466.60,1782.0
Posts 257,1,4,4,4,0.00,0.000%,250.00000,399.90,556.88,1638.0
Posts 258,1,4,4,4,0.00,0.000%,250.00000,352.29,500.49,1443.0
Posts 259,1,5,5,5,0.00,0.000%,200.00000,324.02,441.02,1659.0
Posts 260,1,6,6,6,0.00,0.000%,166.66667,161.62,262.04,993.0
Posts 261,1,6,6,6,0.00,0.000%,166.66667,258.14,358.07,1586.0
Posts 262,1,4,4,4,0.00,0.000%,250.00000,351.81,494.87,1441.0
Posts 263,1,4,4,4,0.00,0.000%,250.00000,235.60,391.60,965.0
Posts 264,1,7,7,7,0.00,0.000%,142.85714,160.30,250.00,1149.0
Posts 265,1,5,5,5,0.00,0.000%,200.00000,214.65,343.55,1099.0
Posts 266,1,5,5,5,0.00,0.000%,200.00000,360.35,480.47,1845.0
Posts 267,1,4,4,4,0.00,0.000%,250.00000,375.49,517.82,1538.0
Posts 268,1,6,6,6,0.00,0.000%,166.66667,166.02,270.35,1020.0
Posts 269,1,4,4,4,0.00,0.000%,250.00000,382.32,526.61,1566.0
Posts 270,1,8,8,8,0.00,0.000%,125.00000,148.68,219.48,1218.0
Posts 271,1,5,5,5,0.00,0.000%,200.00000,221.09,347.66,1132.0
Posts 272,1,4,4,4,0.00,0.000%,250.00000,364.50,521.48,1493.0
Posts 273,1,4,4,4,0.00,0.000%,250.00000,322.27,482.67,1320.0
Posts 274,1,4,4,4,0.00,0.000%,250.00000,363.77,519.78,1490.0
Posts 275,1,6,6,6,0.00,0.000%,166.66667,186.20,286.30,1144.0
Posts 276,1,5,5,5,0.00,0.000%,200.00000,346.88,465.62,1776.0
Posts 277,1,6,6,6,0.00,0.000%,166.66667,265.62,366.86,1632.0
Posts 278,1,4,4,4,0.00,0.000%,250.00000,421.39,582.03,1726.0
Posts 279,1,5,5,5,0.00,0.000%,200.00000,345.70,460.55,1770.0
Posts 280,1,5,5,5,0.00,0.000%,200.00000,259.57,376.37,1329.0
Posts 281,1,4,4,4,0.00,0.000%,250.00000,276.61,433.35,1133.0
Posts 282,1,6,6,6,0.00,0.000%,166.66667,279.62,373.21,1718.0
Posts 283,1,5,5,5,0.00,0.000%,200.00000,259.38,383.59,1328.0
Posts 284,1,5,5,5,0.00,0.000%,200.00000,256.45,383.01,1313.0
Posts 285,1,3,3,3,0.00,0.000%,333.33333,497.72,708.01,1529.0
Posts 286,1,6,6,6,0.00,0.000%,166.66667,218.26,315.43,1341.0
Posts 287,1,6,6,6,0.00,0.000%,166.66667,236.17,335.94,1451.0
Posts 288,1,8,8,8,0.00,0.000%,125.00000,149.90,220.09,1228.0
Posts 289,1,4,4,4,0.00,0.000%,250.00000,302.49,456.54,1239.0
Posts 290,1,4,4,4,0.00,0.000%,250.00000,437.74,583.50,1793.0
Posts 291,1,4,4,4,0.00,0.000%,250.00000,279.79,437.50,1146.0
Posts 292,1,6,6,6,0.00,0.000%,166.66667,200.85,307.13,1234.0
Posts 293,1,5,5,5,0.00,0.000%,200.00000,187.70,311.33,961.0
Posts 294,1,5,5,5,0.00,0.000%,200.00000,237.89,363.28,1218.0
Posts 295,1,8,8,8,0.00,0.000%,125.00000,162.11,234.86,1328.0
Posts 296,1,45,45,45,0.00,0.000%,22.22222,36.61,49.96,1687.0
Posts 297,1,5,5,5,0.00,0.000%,200.00000,253.32,376.76,1297.0
Posts 298,1,5,5,5,0.00,0.000%,200.00000,228.12,347.27,1168.0
Posts 299,1,5,5,5,0.00,0.000%,200.00000,220.31,341.99,1128.0
Posts 300,1,6,6,6,0.00,0.000%,166.66667,138.18,247.88,849.0
Posts 301,1,5,5,5,0.00,0.000%,200.00000,284.57,413.67,1457.0
Posts 302,1,5,5,5,0.00,0.000%,200.00000,332.62,454.30,1703.0
Posts 303,1,4,4,4,0.00,0.000%,250.00000,240.23,393.31,984.0
Posts 304,1,6,6,6,0.00,0.000%,166.66667,283.85,387.37,1744.0
Posts 305,1,5,5,5,0.00,0.000%,200.00000,191.02,317.19,978.0
Posts 306,1,9,9,9,0.00,0.000%,111.11111,174.15,244.47,1605.0
Posts 307,1,6,6,6,0.00,0.000%,166.66667,288.57,389.97,1773.0
Posts 308,1,7,7,7,0.00,0.000%,142.85714,204.10,285.71,1463.0
Posts 309,1,8,8,8,0.00,0.000%,125.00000,209.23,284.42,1714.0
Posts 310,1,11,11,11,0.00,0.000%,90.90909,98.46,154.65,1109.0
Posts 311,1,6,6,6,0.00,0.000%,166.66667,160.32,264.49,985.0
Posts 312,1,4,4,4,0.00,0.000%,250.00000,309.57,455.57,1268.0
Posts 313,1,5,5,5,0.00,0.000%,200.00000,330.86,453.91,1694.0
Posts 314,1,6,6,6,0.00,0.000%,166.66667,152.18,257.65,935.0
Posts 315,1,6,6,6,0.00,0.000%,166.66667,295.41,395.02,1815.0
Posts 316,1,6,6,6,0.00,0.000%,166.66667,312.66,407.88,1921.0
Posts 317,1,8,8,8,0.00,0.000%,125.00000,131.23,205.20,1075.0
Posts 318,1,5,5,5,0.00,0.000%,200.00000,242.58,366.80,1242.0
Posts 319,1,5,5,5,0.00,0.000%,200.00000,367.97,486.13,1884.0
Posts 320,1,6,6,6,0.00,0.000%,166.66667,227.38,332.19,1397.0
Posts 321,1,5,5,5,0.00,0.000%,200.00000,311.72,423.63,1596.0
Posts 322,1,6,6,6,0.00,0.000%,166.66667,151.53,255.53,931.0
Posts 323,1,5,5,5,0.00,0.000%,200.00000,300.20,412.89,1537.0
Posts 324,1,6,6,6,0.00,0.000%,166.66667,309.08,408.69,1899.0
Posts 325,1,5,5,5,0.00,0.000%,200.00000,329.69,448.24,1688.0
Posts 326,1,5,5,5,0.00,0.000%,200.00000,173.83,302.34,890.0
Posts 327,1,5,5,5,0.00,0.000%,200.00000,381.84,495.70,1955.0
Posts 328,1,5,5,5,0.00,0.000%,200.00000,342.77,455.08,1755.0
Posts 329,1,9,9,9,0.00,0.000%,111.11111,159.83,230.14,1473.0
Posts 330,1,9,9,9,0.00,0.000%,111.11111,157.44,225.15,1451.0
Posts 331,1,8,8,8,0.00,0.000%,125.00000,113.04,191.65,926.0
Posts 332,1,22,22,22,0.00,0.000%,45.45455,77.81,104.09,1753.0
Posts 333,1,28,28,28,0.00,0.000%,35.71429,52.28,74.99,1499.0
Posts 334,1,15,15,15,0.00,0.000%,66.66667,126.63,164.45,1945.0
Posts 335,1,5,5,5,0.00,0.000%,200.00000,329.49,457.23,1687.0
Posts 336,1,8,8,8,0.00,0.000%,125.00000,132.45,208.74,1085.0
Posts 337,1,9,9,9,0.00,0.000%,111.11111,146.16,214.52,1347.0
