Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get login page,1,53,53,53,0.00,0.000%,18.86792,87.52,7.11,4750.0
Login,1,122,122,122,0.00,0.000%,8.19672,348.72,18.47,43565.0
Posts 1,1,123,123,123,0.00,0.000%,8.13008,12.59,17.67,1586.0
Posts 2,1,11,11,11,0.00,0.000%,90.90909,160.16,215.64,1804.0
Posts 3,1,22,22,22,0.00,0.000%,45.45455,60.32,88.73,1359.0
Posts 4,1,11,11,11,0.00,0.000%,90.90909,94.73,149.59,1067.0
Posts 5,1,11,11,11,0.00,0.000%,90.90909,108.84,161.13,1226.0
Posts 6,1,9,9,9,0.00,0.000%,111.11111,145.62,216.58,1342.0
Posts 7,1,20,20,20,0.00,0.000%,50.00000,46.73,78.27,957.0
Posts 8,1,10,10,10,0.00,0.000%,100.00000,127.64,183.40,1307.0
Posts 9,1,12,12,12,0.00,0.000%,83.33333,118.00,170.74,1450.0
Posts 10,1,17,17,17,0.00,0.000%,58.82353,106.62,141.72,1856.0
Posts 11,1,6,6,6,0.00,0.000%,166.66667,227.54,323.08,1398.0
Posts 12,1,10,10,10,0.00,0.000%,100.00000,92.38,156.05,946.0
Posts 13,1,10,10,10,0.00,0.000%,100.00000,119.73,181.35,1226.0
Posts 14,1,9,9,9,0.00,0.000%,111.11111,143.45,210.94,1322.0
Posts 15,1,6,6,6,0.00,0.000%,166.66667,198.24,295.90,1218.0
Posts 16,1,7,7,7,0.00,0.000%,142.85714,175.36,263.25,1257.0
Posts 17,1,11,11,11,0.00,0.000%,90.90909,94.02,147.11,1059.0
Posts 18,1,15,15,15,0.00,0.000%,66.66667,88.48,127.41,1359.0
Posts 19,1,6,6,6,0.00,0.000%,166.66667,213.70,317.06,1313.0
Posts 20,1,6,6,6,0.00,0.000%,166.66667,237.47,334.31,1459.0
Posts 21,1,6,6,6,0.00,0.000%,166.66667,296.06,398.27,1819.0
Posts 22,1,7,7,7,0.00,0.000%,142.85714,175.22,258.51,1256.0
Posts 23,1,5,5,5,0.00,0.000%,200.00000,315.62,429.88,1616.0
Posts 24,1,7,7,7,0.00,0.000%,142.85714,162.39,246.37,1164.0
Posts 25,1,5,5,5,0.00,0.000%,200.00000,180.27,309.38,923.0
Posts 26,1,6,6,6,0.00,0.000%,166.66667,263.18,366.05,1617.0
Posts 27,1,7,7,7,0.00,0.000%,142.85714,221.40,307.48,1587.0
Posts 28,1,5,5,5,0.00,0.000%,200.00000,274.22,401.37,1404.0
Posts 29,1,4,4,4,0.00,0.000%,250.00000,288.82,446.53,1183.0
Posts 30,1,4,4,4,0.00,0.000%,250.00000,227.78,384.28,933.0
Posts 31,1,6,6,6,0.00,0.000%,166.66667,239.91,338.38,1474.0
Posts 32,1,5,5,5,0.00,0.000%,200.00000,294.14,410.55,1506.0
Posts 33,1,5,5,5,0.00,0.000%,200.00000,358.79,471.48,1837.0
Posts 34,1,6,6,6,0.00,0.000%,166.66667,272.62,372.56,1675.0
Posts 35,1,3,3,3,0.00,0.000%,333.33333,410.16,604.49,1260.0
Posts 36,1,4,4,4,0.00,0.000%,250.00000,335.94,486.82,1376.0
Posts 37,1,4,4,4,0.00,0.000%,250.00000,364.26,522.95,1492.0
Posts 38,1,4,4,4,0.00,0.000%,250.00000,470.95,611.08,1929.0
Posts 39,1,4,4,4,0.00,0.000%,250.00000,423.34,571.53,1734.0
Posts 40,1,5,5,5,0.00,0.000%,200.00000,291.41,404.10,1492.0
Posts 41,1,6,6,6,0.00,0.000%,166.66667,274.41,374.02,1686.0
Posts 42,1,5,5,5,0.00,0.000%,200.00000,307.03,422.27,1572.0
Posts 43,1,4,4,4,0.00,0.000%,250.00000,380.86,524.90,1560.0
Posts 44,1,7,7,7,0.00,0.000%,142.85714,206.89,293.95,1483.0
Posts 45,1,6,6,6,0.00,0.000%,166.66667,218.10,311.69,1340.0
Posts 46,1,4,4,4,0.00,0.000%,250.00000,465.09,604.74,1905.0
Posts 47,1,4,4,4,0.00,0.000%,250.00000,278.32,436.77,1140.0
Posts 48,1,4,4,4,0.00,0.000%,250.00000,438.23,584.23,1795.0
Posts 49,1,7,7,7,0.00,0.000%,142.85714,228.93,318.36,1641.0
Posts 50,1,5,5,5,0.00,0.000%,200.00000,197.85,318.75,1013.0
Posts 51,1,4,4,4,0.00,0.000%,250.00000,441.16,586.18,1807.0
Posts 52,1,6,6,6,0.00,0.000%,166.66667,197.59,298.01,1214.0
Posts 53,1,11,11,11,0.00,0.000%,90.90909,106.00,162.55,1194.0
Posts 54,1,4,4,4,0.00,0.000%,250.00000,247.07,408.69,1012.0
Posts 55,1,9,9,9,0.00,0.000%,111.11111,128.04,195.75,1180.0
Posts 56,1,7,7,7,0.00,0.000%,142.85714,203.68,288.09,1460.0
Posts 57,1,9,9,9,0.00,0.000%,111.11111,115.13,183.92,1061.0
Posts 58,1,5,5,5,0.00,0.000%,200.00000,289.45,416.02,1482.0
Posts 59,1,4,4,4,0.00,0.000%,250.00000,367.92,509.77,1507.0
Posts 60,1,5,5,5,0.00,0.000%,200.00000,311.33,437.70,1594.0
Posts 61,1,4,4,4,0.00,0.000%,250.00000,257.32,414.31,1054.0
