Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get login page,1,4435,4435,4435,4435,4435,4435,4435,0.000%,.22548,24.56,0.52
Login,1,5106,5106,5106,5106,5106,5106,5106,0.000%,.19585,68.00,4.95
home,50,179,152,220,239,714,129,714,0.000%,4.95835,285.42,119.87
TOTAL,52,355,153,239,465,4435,129,5106,0.000%,2.61241,167.51,62.11
