Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get login page,1,4435,4435,4435,0.00,0.000%,.22548,24.56,0.52,111544.0
Login,1,5106,5106,5106,0.00,0.000%,.19585,68.00,4.95,355544.0
home,50,179,129,714,97.68,0.000%,4.95835,285.42,119.87,58946.0
TOTAL,52,355,129,5106,890.55,0.000%,2.61241,167.51,62.11,65661.3
